idna_subject,checker_type,destination,source,tested_at
last_retested_at_iso: 2020-12-22T21:23,AVAILABILITY,309br.net,/home/travis/build/PyFunceble/ci_test/309br.net,2020-12-22T23:46:26.979058
status,AVAILABILITY,309br.net,/home/travis/build/PyFunceble/ci_test/309br.net,2020-12-22T23:46:26.979058
included_at_epoch,AVAILABILITY,360.com,/home/travis/build/PyFunceble/ci_test/360.com,2020-12-22T23:46:26.979058
included_at_iso: 2020-12-19T21:21,AVAILABILITY,360.com,/home/travis/build/PyFunceble/ci_test/360.com,2020-12-22T23:46:26.979058
last_retested_at_epoch,AVAILABILITY,360.com,/home/travis/build/PyFunceble/ci_test/360.com,2020-12-22T23:46:26.979058
last_retested_at_iso: 2020-12-22T21:23,AVAILABILITY,360.com,/home/travis/build/PyFunceble/ci_test/360.com,2020-12-22T23:46:26.979058
status,AVAILABILITY,360.com,/home/travis/build/PyFunceble/ci_test/360.com,2020-12-22T23:46:26.979058
included_at_epoch,AVAILABILITY,360safe.com.cn,/home/travis/build/PyFunceble/ci_test/360safe.com.cn,2020-12-22T23:46:26.979058
included_at_iso: 2020-12-19T21:21,AVAILABILITY,360safe.com.cn,/home/travis/build/PyFunceble/ci_test/360safe.com.cn,2020-12-22T23:46:26.979058
last_retested_at_epoch,AVAILABILITY,360safe.com.cn,/home/travis/build/PyFunceble/ci_test/360safe.com.cn,2020-12-22T23:46:26.979058
last_retested_at_iso: 2020-12-22T21:23,AVAILABILITY,360safe.com.cn,/home/travis/build/PyFunceble/ci_test/360safe.com.cn,2020-12-22T23:46:26.979058
status,AVAILABILITY,360safe.com.cn,/home/travis/build/PyFunceble/ci_test/360safe.com.cn,2020-12-22T23:46:26.979058
included_at_epoch,AVAILABILITY,360safe.com_.cn,/home/travis/build/PyFunceble/ci_test/360safe.comð.cn,2020-12-22T23:46:26.979058
included_at_iso: 2020-12-01T21:09,AVAILABILITY,360safe.com_.cn,/home/travis/build/PyFunceble/ci_test/360safe.comð.cn,2020-12-22T23:46:26.979058
last_retested_at_epoch,AVAILABILITY,360safe.com_.cn,/home/travis/build/PyFunceble/ci_test/360safe.comð.cn,2020-12-22T23:46:26.979058
last_retested_at_iso: 2020-12-22T21:23,AVAILABILITY,360safe.com_.cn,/home/travis/build/PyFunceble/ci_test/360safe.comð.cn,2020-12-22T23:46:26.979058
status,AVAILABILITY,360safe.com_.cn,/home/travis/build/PyFunceble/ci_test/360safe.comð.cn,2020-12-22T23:46:26.979058
included_at_epoch,AVAILABILITY,360totalsecurity.com,/home/travis/build/PyFunceble/ci_test/360totalsecurity.com,2020-12-22T23:46:26.979058
